t,x,y,z,w,w_pred,v,q
9.14,-30.0,-17.525376,0.8,1.6,1.6,50.0,0.0
9.15,-30.0,-17.455373,0.8,1.6,1.6,50.0,0.0
9.16,-30.0,-17.385369,0.8,1.6,1.6,50.0,0.0
9.17,-30.0,-17.315366,0.8,1.6,1.6,50.0,0.0
9.18,-30.0,-17.245362,0.8,1.6,1.6,50.0,0.0
9.19,-30.0,-17.175359,0.8,1.6,1.6,50.0,0.0
9.2,-30.0,-17.105355,0.8,1.6,1.6,50.0,0.0
9.21,-30.0,-17.035352,0.8,1.6,1.6,50.0,0.0
9.22,-30.0,-16.965348,0.8,1.6,1.6,50.0,0.0
9.23,-30.0,-16.895345,0.8,1.6,1.6,50.0,0.0
9.24,-30.0,-16.825341,0.8,1.6,1.6,50.0,0.0
9.25,-30.0,-16.755338,0.8,1.6,1.6,50.0,0.0
9.26,-30.0,-16.685334,0.8,1.6,1.6,50.0,0.0
9.27,-30.0,-16.615331,0.8,1.6,1.6,50.0,0.0
9.28,-30.0,-16.545327,0.8,1.6,1.6,50.0,0.0
9.29,-30.0,-16.475324,0.8,1.6,1.6,50.0,0.0
9.3,-30.0,-16.40532,0.8,1.6,1.6,50.0,0.0
9.31,-30.0,-16.335317,0.8,1.6,1.6,50.0,0.0
9.32,-30.0,-16.265313,0.8,1.6,1.6,50.0,0.0
9.33,-30.0,-16.19531,0.8,1.6,1.6,50.0,0.0
9.34,-30.0,-16.125306,0.8,1.6,1.6,50.0,0.0
9.35,-30.0,-16.055303,0.8,1.6,1.6,50.0,0.0
9.36,-30.0,-15.985299,0.8,1.6,1.6,50.0,0.0
9.37,-30.0,-15.915296,0.8,1.6,1.6,50.0,0.0
9.38,-30.0,-15.845292,0.8,1.6,1.6,50.0,0.0
9.39,-30.0,-15.775289,0.8,1.6,1.6,50.0,0.0
9.4,-30.0,-15.705285,0.8,1.6,1.6,50.0,0.0
9.41,-30.0,-15.635282,0.8,1.6,1.6,50.0,0.0
9.42,-30.0,-15.565278,0.8,1.6,1.6,50.0,0.0
9.43,-30.0,-15.495275,0.8,1.6,1.6,50.0,0.0
9.44,-30.0,-15.425271,0.8,1.6,1.6,50.0,0.0
9.45,-30.0,-15.355268,0.8,1.6,1.6,50.0,0.0
9.46,-30.0,-15.285264,0.8,1.6,1.6,50.0,0.0
9.47,-30.0,-15.215261,0.8,1.6,1.6,50.0,0.0
9.48,-30.0,-15.145257,0.8,1.6,1.6,50.0,0.0
9.49,-30.0,-15.075254,0.8,1.6,1.6,50.0,0.0
9.5,-30.0,-15.00525,0.8,1.6,1.6,50.0,0.0
9.51,-30.0,-14.935247,0.8,1.6,1.6,50.0,0.0
9.52,-30.0,-14.865243,0.8,1.6,1.6,50.0,0.0
9.53,-30.0,-14.79524,0.8,1.6,1.6,50.0,0.0
9.54,-30.0,-14.725236,0.8,1.6,1.6,50.0,0.0
9.55,-30.0,-14.655233,0.8,1.6,1.6,50.0,0.0
9.56,-30.0,-14.585229,0.8,1.6,1.6,50.0,0.0
9.57,-30.0,-14.515226,0.8,1.6,1.6,50.0,0.0
9.58,-30.0,-14.445222,0.8,1.6,1.6,50.0,0.0
9.59,-30.0,-14.375219,0.8,1.6,1.6,50.0,0.0
9.6,-30.0,-14.305215,0.8,1.6,1.6,50.0,0.0
9.61,-30.0,-14.235212,0.8,1.6,1.6,50.0,0.0
9.62,-30.0,-14.165208,0.8,1.6,1.6,50.0,0.0
9.63,-30.0,-14.095205,0.8,1.6,1.6,50.0,0.0
9.64,-30.0,-14.025201,0.8,1.6,1.6,50.0,0.0
9.65,-30.0,-13.955198,0.8,1.6,1.6,50.0,0.0
9.66,-30.0,-13.885194,0.8,1.6,1.6,50.0,0.0
9.67,-30.0,-13.815191,0.8,1.6,1.6,50.0,0.0
9.68,-30.0,-13.745187,0.8,1.6,1.6,50.0,0.0
9.69,-30.0,-13.675184,0.8,1.6,1.6,50.0,0.0
9.7,-30.0,-13.60518,0.8,1.6,1.6,50.0,0.0
9.71,-30.0,-13.535177,0.8,1.6,1.6,50.0,0.0
9.72,-30.0,-13.465173,0.8,1.6,1.6,50.0,0.0
9.73,-30.0,-13.39517,0.8,1.6,1.6,50.0,0.0
9.74,-30.0,-13.325166,0.8,1.6,1.6,50.0,0.0
9.75,-30.0,-13.255163,0.8,1.6,1.6,50.0,0.0
9.76,-30.0,-13.185159,0.8,1.6,1.6,50.0,0.0
9.77,-30.0,-13.115156,0.8,1.6,1.6,50.0,0.0
9.78,-30.0,-13.045152,0.8,1.6,1.6,50.0,0.0
9.79,-30.0,-12.975149,0.8,1.6,1.6,50.0,0.0
9.8,-30.0,-12.905145,0.8,1.6,1.6,50.0,0.0
9.81,-30.0,-12.835142,0.8,1.6,1.6,50.0,0.0
9.82,-30.0,-12.765138,0.8,1.6,1.6,50.0,0.0
9.83,-30.0,-12.695135,0.8,1.6,1.6,50.0,0.0
9.84,-30.0,-12.625131,0.8,1.6,1.6,50.0,0.0
9.85,-30.0,-12.555128,0.8,1.6,1.6,50.0,0.0
9.86,-30.0,-12.485124,0.8,1.6,1.6,50.0,0.0
9.87,-30.0,-12.415121,0.8,1.6,1.6,50.0,0.0
9.88,-30.0,-12.345117,0.8,1.6,1.6,50.0,0.0
9.89,-30.0,-12.275114,0.8,1.6,1.6,50.0,0.0
9.9,-30.0,-12.20511,0.8,1.6,1.6,50.0,0.0
9.91,-30.0,-12.135107,0.8,1.6,1.6,50.0,0.0
9.92,-30.0,-12.065103,0.8,1.6,1.6,50.0,0.0
9.93,-30.0,-11.9951,0.8,1.6,1.6,50.0,0.0
9.94,-30.0,-11.925096,0.8,1.6,1.6,50.0,0.0
9.95,-30.0,-11.855093,0.8,1.6,1.6,50.0,0.0
9.96,-30.0,-11.785089,0.8,1.6,1.6,50.0,0.0
9.97,-30.0,-11.715086,0.8,1.6,1.6,50.0,0.0
9.98,-30.0,-11.645082,0.8,1.6,1.6,50.0,0.0
9.99,-30.0,-11.575079,0.8,1.6,1.6,50.0,0.0
10.0,-30.0,-11.505075,0.8,1.6,1.6,50.0,0.0
10.01,-30.0,-11.435072,0.8,1.6,1.6,50.0,0.0
10.02,-30.0,-11.365068,0.8,1.6,1.6,50.0,0.0
10.03,-30.0,-11.295065,0.8,1.6,1.6,50.0,0.0
10.04,-30.0,-11.225061,0.8,1.6,1.6,50.0,0.0
10.05,-30.0,-11.155058,0.8,1.6,1.6,50.0,0.0
10.06,-30.0,-11.085054,0.8,1.6,1.6,50.0,0.0
10.07,-30.0,-11.015051,0.8,1.6,1.6,50.0,0.0
10.08,-30.0,-10.945047,0.8,1.6,1.6,50.0,0.0
10.09,-30.0,-10.875044,0.8,1.6,1.6,50.0,0.0
10.1,-30.0,-10.80504,0.8,1.6,1.6,50.0,0.0
10.11,-30.0,-10.735037,0.8,1.6,1.6,50.0,0.0
10.12,-30.0,-10.665033,0.8,1.6,1.6,50.0,0.0
10.13,-30.0,-10.59503,0.8,1.6,1.6,50.0,0.0
10.14,-30.0,-10.525026,0.8,1.6,1.6,50.0,0.0
10.15,-30.0,-10.455023,0.8,1.6,1.6,50.0,0.0
10.16,-30.0,-10.385019,0.8,1.6,1.6,50.0,0.0
10.17,-30.0,-10.315016,0.8,1.6,1.6,50.0,0.0
10.18,-30.0,-10.245012,0.8,1.6,1.6,50.0,0.0
